Block Number,Trial Number,Colour,Accuracy,Response Time
1,1,black,Incorrect,0.6190498049982125
1,2,black,Incorrect,0.3159895300050266
1,3,black,Incorrect,0.16438746199128218
1,4,white,Correct,0.22841241800051648
1,5,white,Correct,0.1805607159913052
1,6,black,Incorrect,0.1962878449994605
1,7,black,Incorrect,0.18004478600050788
1,8,black,Incorrect,0.18782873400778044
1,9,white,Correct,0.20492161200672854
1,10,black,Incorrect,0.2039839579956606
2,1,white,Correct,0.1970198659982998
2,2,black,Incorrect,0.18830170200089924
2,3,white,Correct,0.18834613900980912
2,4,white,Correct,0.17266737601312343
2,5,white,Correct,0.18851540501054842
2,6,black,Incorrect,0.18805194699962158
2,7,white,Correct,0.1965187989990227
2,8,white,Correct,0.20451284899900202
2,9,black,Incorrect,0.1884361520060338
2,10,white,Correct,0.2124725799949374
